k,accuracy,known_accuracy,imposter_rejection,confidence_threshold,distance_threshold
5,0.42857142857142855,0.425,0.43333333333333335,0.7885950292605204,2.2641529682189097
10,0.45714285714285713,0.525,0.36666666666666664,0.85,4.003435053380026
15,0.6,0.775,0.36666666666666664,0.85,5.901382112777842
20,0.6,0.8,0.3333333333333333,0.85,7.284119627378502
25,0.5571428571428572,0.775,0.26666666666666666,0.85,8.29918197142761
30,0.5714285714285714,0.675,0.43333333333333335,0.85,9.105612232831444
